sentence1	sentence2	score
Wreckage of Air Algerie plane carrying 116 people found in Mali	Wreckage from AirAlgerie flight AH5017 found in Mali	3.4
Influential Palestinians Seek One Democratic State	Arab League Backs Palestinian Stance in Peace Talks	0.6
Dozens killed in Russian plane crash	Ten killed in Alaska plane crash	1.4
U.S. retailers agree to Bangladesh plant safety pact	70 retailers agree to new Bangladesh factory safety pact	4
US government shutdown begins - live updates	Government Shutdown Begins Over Health Care Feud	3.2
Suicide bomber kills 14 in Afghanistan	Suicide blast kills 1 in Afghan capital	3
China launches probe and rover to moon	China launches first moon rover mission	4
All eyes on Khurshid‚Äôs trip ...	EU finance ministers‚Äô talks b...	1.8
Australia cuts rates to record low	Australia cuts interest rate to record low 2.75%	3.8
Chinese News Agency Slams Delays in Search for Jet	Ten Chinese vessels on standby for jet search	3.2
Classic crossword - Saturday 1st June	Classic crossword - Saturday 20th April	1.6
N Korea test-fires 30 short-range missiles	N. Korea fires short-range missiles	3.4
Palestinian diplomat dies in Prague blast	Palestinian diplomat killed in explosion in Prague	5
Novice 'steered South Korea ferry'	South Korea ferry captain arrested	2.4
Chinese president meets Indian vice president	Chinese president meets U.S. state secretary	1.6
Teenage girl killed in east London Shereka Marsh was shot in the neck, police say	Hackney shooting: Teenager Shereka Marsh 'bled to death after being shot in neck'	4.6
Death toll in Nairobi attack rises to 59	Death toll from Egypt violence rises to 638	1.6
China's Peace Ark departs for the Philippines Thursday	China sends aid team to Philippines	4
Iran dissidents 'killed in Iraq'	France loses influence in Europe	0
James Gandolfini dies aged 51	Nelson Mandela dies aged 95	0.4
Nearly nine million people in 'severe debt'	Britain's debt timebomb: Nine million are in 'serious debt'	4.2
Updated - Two explosions near finish line of Boston Marathon	Report of two explosions at finish line of Boston Marathon	5
Twelve killed in bomb blast on Pakistani train	Five killed by bomb blast in East India	1
The new Cold War	A new Cold War?	4.8
Cuba's 'Ladies' to pick up EU prize 8 years late	Cuba's 'Ladies' to Pick Up EU Prize 8 Years Later	5
Fourteen killed in Brazil bus accident	Two killed in Arizona skydiving accident	0.6
US: Assad used chemical weapons on Syria rebels	Assad agrees to hand over chemical weapons	1.8
Death Toll in Bangladesh Collapse at 194	At least 200 killed in Bangladesh building collapse	3.4
Israeli teens missing in West Bank	Israel finds bodies of three missing teens in West Bank	2.8
President mourns death of Mandela	World mourns passing of Mandela	3.4
Two blasts near Iranian embassy in Beirut, 7 killed	Blast near Iran embassy in Beirut	3.2
Singapore shares open 0.31% higher on Monday	Singapore shares open lower on Monday	2.2
Suicide bomber kills 23 Iraqi army recruits	Suicide bomber kills 13 Iraqi army recruits in Baghdad	2.4
Deaf customers sue Starbucks, say they're mocked	Deaf NY Starbucks patrons sue, say they're mocked	4.6
Thousands evacuated in Moscow metro fire	Thousands evacuated after fire breaks out in Moscow Metro	4.8
38 killed in rains, flash floods in Pakistan	Three killed in Brazil stadium collapse	0.4
7 killed by Shiite al-Houthi fighters in northern Yemen	At least 5 killed in sectarian conflict in north Yemen	3
Iran excluded from Syria peace talks: UN	Many killed in Syrian air strike	0.4
Kerry call on Congress to end shutdown	Brazil's Congress approves internet legislation	0.4
Canada train plot suspects reject charges	Canadians released in Egypt, not yet heading home	1
East Ukraine Separatists Ask to Join Russia	Crimean Parliament Votes to Join Russia	2.8
Rudd sworn in as new Australian PM	Muslims in hiding as sectarian ...	0
Moon rocks indicate earth's orb born of collision	Indian minister killed in head-on collision	0
BlackBerry loses US$965m in Q2	BlackBerry loses $965M in 2nd quarter	5
Egypt strongly opposes military action against Syria	Reactions to the prospect of military action against Syria	1.6
Pro-Russia rebels downed Malaysian plane: Ukraine	Russia Preparing Counterproposals Over Ukraine	1.8
No argument with Jakarta on boats: Abbott	No agreement at Iran nuclear talks	0.4
US believes Syria has probably used chemical weapons	US believes Syrian government used chemical weapons	4.6
Egypt's opposition criticizes president's speech	Pakistan's opposition party boycotts presidential elections	0
Syrian war seen dragging on for years	Syria regime releases hundreds of prisoners	1
Russia says ballistic missiles fired in Mediterranean	Israel says it carried out joint missile test with US in Mediterranean	1
Volcano erupts in Indonesia -100,000 evacuated and airports closed	Volcanic eruption closes 3 airports	3
49 killed, 148 wounded in violent attacks in Iraq	2 killed, 11 wounded in attacks in Iraq	1.4
Ukraine's Yanukovych says he does not plan to resign	Ukraine opposition demands Yanukovich resign	1.4
Flash floods kill 58 in eastern Afghanistan	Bomb wounds 16 in eastern Afghanistan	0.8
Investigators probe motives of LAX airport shooter	Investigators Probe Motives of Los Angeles Airport Shooter	5
Outrage after reports emerge about 6-year-old Indian girl raped at school	Outrage After Indian Girl, 6, Raped at Her School	5
Janet Yellen to become first woman to lead the Federal Reserve	US Senate confirms Janet Yellen as US Federal Reserve chief	4.6
World powers, Iran under Rouhani revive nuclear talks	World powers seek rare progress in Iran nuclear talks	3.8
Muslim Brotherhood banned in Egypt	Military holds upper hand in Egypt	1.2
More Deaths Expected in Canada Oil Train Explosion	Five dead in Canada train crash	2.8
Philippines defers comment on Taiwan fisher attack	Bin Laden's continuing sway shown in Kenya mall attack	0.4
Crowds, Dignitaries Gather for Mandela Memorial Service	Obama takes 'selfie' at Mandela's funeral service	1.6
Obama Urges Restraint from Israelis, Palestinians	Obama meets Israeli, Palestinian negotiators	1.8
Russia releases Greenpeace doctor	Russian court releases Greenpeace ship doctor on bail	4.2
Russian aircraft wreckage found after a year	Russia evacuates embassy in Libya after attack	0.2
17 killed in US drone attack on Yemen wedding party	U.S. drone mistakenly kills 14 in Yemen wedding convoy	4
China manufacturing index at 11-month low: HSBC	China manufacturing expands in September	1
France to ban child beauty pageants	Facebook to test mobile payments service	0.4
Today in History, Dec. 2	Today in History, April 23	1.8
Ships Train for Syrian Chemical Weapons Transport	UN Adopts Syrian Chemical Weapons Resolution	1.8
Death toll rises to 29 in India's Mumbai building collapse	Death toll rises to 12 in Indonesia mine collapse	0.6
Extremists claim responsibility for Niger attacks	Greek militant group claims responsibility for Golden Dawn killings	1.4
Pro-Russians forces enter Ukrainian naval base in Crimea	Crimean forces storm Ukrainian navy headquarters	3.8
Body of missing South Korean shipping tycoon found in field	Sewol ferry disaster: Body of South Korean shipping tycoon found	4.2
No update on Nelson Mandela's condition	Nelson Mandela's condition improves	2.2
Ukraine: Nine people die in Kyiv clashes	Ukraine pressured over Kiev clashes	2
US Flying Surveillance Missions to Help Find Kidnapped Nigerian Girls	US surveillance aircraft join hunt for kidnapped Nigerian girls	4.2
Prince George is christened at St James's Palace	Prince George christened in London	3.8
Monty Python to reunite for new show	Monty Python to reunite on stage	4
Italian Foreign Minister confers with Ghana VP	Belgian Prime Minister sends condolences to victims	0.2
Gunman who held suburban Atlanta firefighters hostage now dead, police say	The Lede: Video: Gunman Takes Firefighters Hostage in Georgia	1.4
Bradley Manning-WikiLeaks case turns to sentencing	Manning WikiLeaks case turns to sentencing phase	5
Egypt poll: 98 per cent vote 'yes' for new constitution	Egypt holding key vote on constitution	2.4
Iran, six global powers sign landmark nuclear deal	Iran, world powers agree nuclear deal	4.6
Israeli forces arrest 6 Palestinians in overnight West Bank raids	Israel classifies Jerusalem natives as noncitizens	1
Hague 'concerns over conduct' of Zimbabwe election	Zimbabwe: 'Grave Concerns' Over Election	2.8
Hong Kong stocks end higher	Indian stocks open higher	0.6
Dignitaries pay tribute to Paul Desmarais	Stars pay tribute to James Garner	0.4
Southwest grounds flights due to computer glitch	Southwest flights delayed, canceled after computer glitch	4.2
Vatican Embassy in Syria hit by mortar fire	Vatican embassy in Syria hit by mortar; no injuries	3.6
North Korea blocks access to joint industrial zone	North Korea Blocks Access to Key Industrial Zone	4.2
Islamic militants kill 9 foreign tourists, 1 Pakistani	Gunmen Kill 11 Foreign Tourists in Pakistan	2.8
'Western' forces attack Islamic militant base in Somalia	Western powers scramble to befriend Modi	1
Hong Kong set for huge democracy rally on handover anniversary	Hong Kong set for huge democracy rally	3.8
Suicide bomber kills 20 in Iraq	Suicide bomber attacks primary school in Iraq, kills 15	3
Five children buried alive in Bohol landslide	Nine children die in attack in Afghanistan attack	0.4
6 Killed by Hot Lava as Indonesia Volcano Erupts	Five dead in Indonesian eruption	3
At least 11 killed in India building collapse	At Least 66 Killed in Bomb Blasts in Iraq	0.6
Egypt's presidential election begins	Egypt issues long-waited presidential election law	2.8
Son of US evangelist kills himself The son of popular US evangelist Rick Warren has killed himself.	Son of popular US evangelist Warren kills himself	4.4
Italian parliament backs new PM	Train Derailment Kills 4 in New York	0
Russian lawmakers pass new bill restricting Internet	Russia says ballistic 'objects' fired in Mediterranean	0.4
Super Typhoon Haiyan, Strongest of Season, Slams the Philippines	Super typhoon Haiyan closes in on the Philippines	3.4
Nato condemns Ukraine crackdown	Thai bonds best in region	0
China to investigate EU wine exports	Christie investigation heats up	1.2
Conan O'Brien at the White House Correspondents' Dinner	Obama and O'Brien Cast Their Versions of D.C. White House Correspondents' Dinner	3.6
Boston bomb suspect charged; religious motive seen	Boston bombing suspect charged in hospital bed	3
Asian markets mixed on China trade data	Asian markets slump on central bank stimulus fears	1.4
World's oldest person dies in Japan at 116	Jiroemon Kimura: World's oldest person dies aged 116	4.8
Foreign exchange rates in India	Foreign exchange rates in Singapore	1.4
Colorado wildfire destroys more than 90 homes as winds worsen	Colorado wildfire may be biggest property destroyer in state history	3.6
Earthquake of 6.3 magnitude strikes off Indonesia island	Earthquake of 6 magnitude strikes Thailand	2
US, Afghan govt to hold peace talks with Taliban	Pakistan holds direct talks with Taliban	2
News of Terrorism and the Israeli-Palestinian Conflict (January 22 ‚Äď 28, 2014)	News of Terrorism and the Israeli-Palestinian Conflict (July 31 ‚Äď August 6, 2013)	3
'It's either too late or too early to intervene in Syria'	UN Chief: Inspectors need 4 days to conclude probe in Syria	1.6
Iran's nuclear negotiating team leaves for Kazakhstan	Iran's nuclear quest 'has cost Tehran over $100 billion'	1
U.S factory orders down 0.7 pct in January	German factory orders rebound in January	0.8
Gunmen Surround Libya's Foreign Ministry To Push Demands	Gunmen surround Libyan foreign ministry to push demands	5
Typhoon death toll rises to 3633	Egyptian death toll rises to 638	0.6
Uganda's president signs anti-gay bill	Uganda's president signs harsh anti-gay law	4.2
Russian parliament allows Putin to use military in Ukraine	Russia has no intention to incorporate southeastern Ukraine: FM	1.8
Bradley Manning acquitted of aiding the enemy	Wikileaks soldier Bradley Manning acquitted of aiding the enemy	4.4
G7 'to intensify Russia sanctions'	Ukraine Fears Russian Invasion	0.6
Rock bands' plane makes emergency landing in Ill.	Rock Bands' Plane Makes Emergency Landing in Ill.	5
Russian Prime Minister On Second Day Of Crimea Visit	Russia warns against setting preconditions for Syria	0.8
Judge OKs force-feeding California inmates	U.S. judge approves force-feeding Californian inmates on hunger strik	4.6
